url,titulo,preco,vendas,teste,marca
https://www.mercadolivre.com.br/furadeira-martelete-eletrica-de-10mm-philco-pfu01m-650w-azul-220v-con-maleta-de-transporte-acessorio/p/MLB9621447?pdp_filters=category:MLB189007#searchVariation=MLB9621447&position=46&search_layout=stack&type=product&tracking_id=511be196-67d9-4d89-a890-3333c71df510,Furadeira martelete elétrica de 10mm Philco PFU01M 650W azul 220V con maleta de transporte + acessório,209,705,39,Philco
https://produto.mercadolivre.com.br/MLB-2146155735-furadeira-e-parafusadeira-wap-efi-600-amarelo-220v-_JM?searchVariation=174108750043#searchVariation=174108750043&position=43&search_layout=stack&type=item&tracking_id=d61c9e84-3cee-4d46-9085-9bc16f1d2115,Furadeira E Parafusadeira Wap Efi 600 Amarelo 220v,201,5,10,Wap
https://produto.mercadolivre.com.br/MLB-1847062494-furadeira-e-parafusadeira-38-pol-fpv300-280w-vonder-_JM?searchVariation=81054761070#searchVariation=81054761070&position=47&search_layout=stack&type=item&tracking_id=89eef087-3246-4569-a943-95ccd3c4fcb6,Furadeira E Parafusadeira 3/8 Pol Fpv300 280w - Vonder,325,2,12,Vonder
https://produto.mercadolivre.com.br/MLB-1603987775-furadeira-parafusadeira-12v-38-pol-dcd700c2-bivolt-dewalt-_JM?searchVariation=70140839689#searchVariation=70140839689&position=49&search_layout=stack&type=item&tracking_id=d61c9e84-3cee-4d46-9085-9bc16f1d2115,Furadeira Parafusadeira 12v 3/8 Pol Dcd700c2 Bivolt Dewalt,709,2,10,DeWalt
https://produto.mercadolivre.com.br/MLB-2047628578-furadeira-de-impacto-710w-12-hp1630kx3-com-kit-broca-makita-_JM?searchVariation=173776302860#searchVariation=173776302860&position=45&search_layout=stack&type=item&tracking_id=89eef087-3246-4569-a943-95ccd3c4fcb6,Furadeira De Impacto 710w 1/2 Hp1630kx3 Com Kit Broca Makita,749,3,12,Makita
https://produto.mercadolivre.com.br/MLB-1931177623-furadeira-de-impacto-12-550w-220v-vonder-fiv550n-_JM?searchVariation=89325104478#searchVariation=89325104478&position=48&search_layout=stack&type=item&tracking_id=89eef087-3246-4569-a943-95ccd3c4fcb6,Furadeira De Impacto 1/2 550w 220v Vonder Fiv550n,229,2,12,Vonder
https://produto.mercadolivre.com.br/MLB-1107510403-furadeira-parafusadeira-12v-dcd700-dewalt-brinde-_JM#position=46&search_layout=stack&type=item&tracking_id=89eef087-3246-4569-a943-95ccd3c4fcb6,Furadeira Parafusadeira 12v Dcd700 Dewalt + Brinde,631,629,12,DeWalt
https://produto.mercadolivre.com.br/MLB-1841600020-furadeira-de-impacto-profissional-450w-gsb450-bosch-_JM?searchVariation=80395906440#searchVariation=80395906440&position=43&search_layout=stack&type=item&tracking_id=89eef087-3246-4569-a943-95ccd3c4fcb6,Furadeira De Impacto Profissional 450w Gsb450 - Bosch,317,19,12,Bosch
https://produto.mercadolivre.com.br/MLB-1651028544-furadeira-e-parafusadeira-impacto-12-710w-220v-dewalt-dwd-_JM?searchVariation=63599914795#searchVariation=63599914795&position=40&search_layout=stack&type=item&tracking_id=89eef087-3246-4569-a943-95ccd3c4fcb6,Furadeira E Parafusadeira Impacto 1/2 710w 220v Dewalt - Dwd,439,39,12,DeWalt
https://produto.mercadolivre.com.br/MLB-1343698193-furadeira-mondial-550w-110v-_JM?searchVariation=78169644378#searchVariation=78169644378&position=44&search_layout=stack&type=item&tracking_id=89eef087-3246-4569-a943-95ccd3c4fcb6,Furadeira Mondial 550w 110v,229,1,12,Mondial
https://produto.mercadolivre.com.br/MLB-2101385729-furadeira-de-impacto-profissional-ferramenta-750w-127v-220v-_JM?searchVariation=173964160496#searchVariation=173964160496&position=1&search_layout=stack&type=item&tracking_id=071b7084-9e2b-4805-86ee-90aa5cf27f96,Furadeira De Impacto Profissional Ferramenta 750w 127v 220v.,161,2,14,Importway
https://produto.mercadolivre.com.br/MLB-1326168882-furadeira-sem-impacto-38-vonder-fsv450-450w-_JM?searchVariation=43908219082#searchVariation=43908219082&position=48&search_layout=stack&type=item&tracking_id=071b7084-9e2b-4805-86ee-90aa5cf27f96,Furadeira Sem Impacto 3/8 Vonder Fsv450 450w,289,1,14,Vonder
https://produto.mercadolivre.com.br/MLB-1630273458-furadeira-de-impacto-ingco-850w-110v-_JM?searchVariation=62088138425#searchVariation=62088138425&position=47&search_layout=stack&type=item&tracking_id=071b7084-9e2b-4805-86ee-90aa5cf27f96,Furadeira De Impacto Ingco 850w 110v,519,2,14,Ingco
https://produto.mercadolivre.com.br/MLB-1955035905-furadeira-impacto-dewalt-reversivel-dw508sk-127v-com-maleta-_JM?searchVariation=174331091995#searchVariation=174331091995&position=45&search_layout=stack&type=item&tracking_id=071b7084-9e2b-4805-86ee-90aa5cf27f96,Furadeira Impacto Dewalt Reversivel Dw508sk 127v Com Maleta,618,4,14,DeWalt
https://produto.mercadolivre.com.br/MLB-1485179188-furadeira-parafusadeira-de-impacto-18v-sem-bateria-makita-_JM#position=46&search_layout=stack&type=item&tracking_id=071b7084-9e2b-4805-86ee-90aa5cf27f96,Furadeira Parafusadeira De Impacto 18v Sem Bateria Makita,663,6,14,Makita
https://produto.mercadolivre.com.br/MLB-733704932-kit-mini-furadeira-12v-bivolt-reparo-artesanato-com-fonte-_JM?searchVariation=56050009153#searchVariation=56050009153&position=42&search_layout=stack&type=item&tracking_id=89eef087-3246-4569-a943-95ccd3c4fcb6,Kit Mini Furadeira 12v Bivolt Reparo / Artesanato Com Fonte,78,1486,12,Tozz
